family,n_train,b0,censoring,corr,overlap,prognostic_form,auc_K1,auc_K2,auc_K3,auc_K4,auc_K5,optimal_K,oracle_rate,feat_c_index,feat_score_skew,feat_score_kurt,feat_score_var,feat_score_q90_q10,feat_delta_c_index,feat_prop_interact_sig,feat_trt_main_p.trt01p,feat_te_bin_var,feat_te_slope,feat_te_quadratic_p,feat_te_max_diff,feat_te_bin_event_rate_range,feat_censoring_rate,feat_event_rate,feat_event_count_trt,feat_event_count_ctrl,feat_median_followup,feat_mean_followup,feat_n,feat_p,feat_e_per_p,feat_bootstrap_ci_sd,feat_bootstrap_ci_mean,feat_orig_pred_var,feat_orig_pred_mean,feat_orig_ambiguity,feat_K1_pred_var,feat_K1_pred_mean,feat_K1_ambiguity,feat_K2_pred_var,feat_K2_pred_mean,feat_K2_ambiguity,feat_K3_pred_var,feat_K3_pred_mean,feat_K3_ambiguity,feat_K4_pred_var,feat_K4_pred_mean,feat_K4_ambiguity,feat_K5_pred_var,feat_K5_pred_mean,feat_K5_ambiguity
additive,500,1.97,0.13,high,complete,linear,0.685832622853049,0.865220388982953,0.83483484835749,0.879063747093035,0.917192021806741,5,0.487,0.83772264744011,0.010313155645139,3.06630185595921,3.13275229218692,-0.93453297942217,0.0504253165456128,,0.41706074375166,27.2737838446992,-2.56167604329111,0.0255228880054181,11.4484049672026,0.36,0.144,0.856,203,225,6.74160307503391,8.99001982144844,500,52,8.23076923076923,0.00773962001147427,0.845076294017063,0.0758265852195223,0.590364730234839,0.178,0.0601777279358655,0.629335164443973,0.232,0.0577121711371597,0.616191068862161,0.3115,0.0773693230052212,0.635342596766283,0.063,0.0613579873971975,0.641359607196342,0.0885,0.0702706596709783,0.631360852596507,0.187
additive,300,1.59,0.41,high,none,quadratic,0.811756747026988,0.865219960879844,0.878784015136061,0.868834475337901,0.839062356249425,3,0.499,0.680592218524045,-0.120690877005146,3.51042812490454,0.685683563069581,-0.947912332852701,0.107597842304602,,0.923218573041501,17.2974373634433,-4.48144536343764,0.266488518963936,9.56908144551394,0.16,0.163333333333333,0.836666666666667,122,129,3.55321813573639,4.37268499994018,300,52,4.82692307692308,0.0201819978573833,0.730711396724195,0.0862138385687,0.619510391608525,0.0466666666666667,0.0761541523213653,0.62747225490543,0.086,0.0774456067087092,0.610911350347473,0.0875,0.05617838383325,0.622486608407661,0.169,0.08346367785393,0.592609488858276,0.049,0.0595270634423409,0.625047464523688,0.088
additive,1000,0.36,0.62,moderate,partial,mixed,0.941323955846777,0.93750550713725,0.923019232925872,0.920729765776446,0.912578701997789,1,0.482,0.673506858428383,0.0163094948838706,3.10287207059237,0.432698445477577,-0.988625261279486,0.0723154964591778,,0.210449177979372,3.33446161780187,-2.36213163719909,0.0910357256139019,4.01896738055245,0.148,0.088,0.912,436,476,0.913250053870394,1.263244062866,1000,52,17.5384615384615,0.00994999136883539,0.682521271264663,0.0180676190542855,0.641760544434106,0.511,0.0183069238604282,0.647773921863911,0.4845,0.0216703153073158,0.638745729403459,0.485,0.0202428417205207,0.641938574539269,0.5635,0.0209294102823915,0.644185729357607,0.5425,0.0196141662186968,0.643918625891501,0.514
additive,300,1.44,0.19,moderate,none,linear,0.826173720196634,0.82808071528078,0.880597388352468,0.899902523578486,0.915155982290115,5,0.486,0.786059716574838,0.0280624388261753,3.07023494262679,2.30786314225323,-0.978958426185575,0.113706902774102,,0.502122222182441,4.71377839622099,-1.2430358679978,0.0373491304824949,4.8094628073182,0.0933333333333333,0.0866666666666667,0.913333333333333,128,146,3.9935063925734,5.84885843387247,300,52,5.26923076923077,0.0122448743566526,0.81238600529286,0.0860017340602133,0.525227589570813,0.146666666666667,0.0680920474925008,0.527909462194758,0.179,0.110981520704915,0.555352466121517,0.1005,0.0959221375885525,0.61024825758058,0.115,0.110013136767316,0.600232853209835,0.0845,0.0886288188829983,0.574492388369494,0.1555
additive,500,0.36,0.24,high,complete,mixed,0.880024502450245,0.833930893089309,0.877044204420442,0.872213221322132,0.89986798679868,5,0.505,0.69561432325887,0.0672235246784288,2.83399394818686,0.683302628532293,-0.989711386646381,0.0725772010512484,,0.136276816945091,0.812493735347515,-0.89509940540903,0.190075552842996,1.97444905782788,0.032,0.026,0.974,257,230,1.0935310647237,1.3455256722026,500,52,9.36538461538461,0.0145109109760829,0.712889123987644,0.0101090352507913,0.631533559074806,0.358,0.00953194340697627,0.633855595435391,0.358,0.0132439160395399,0.643842737470915,0.453,0.012899598808361,0.647166821874347,0.431,0.00802869597648682,0.645930997726381,0.346,0.0104069096347403,0.649760567449154,0.448
additive,500,0.77,0.18,high,none,quadratic,0.846589982175009,0.849284248052612,0.85396268261608,0.87252629461377,0.858188736727588,4,0.4855,0.696216726671782,-0.17889532611852,3.08250666481577,0.585939474384516,-1.02910831155142,0.0883382096272376,,0.0500962022156084,3.03943254271514,-1.99962335212295,0.0109876809106505,3.87643506409172,0.0479999999999999,0.036,0.964,253,229,2.08307079974703,2.57422881250585,500,52,9.26923076923077,0.0154076639466841,0.71716249680218,0.0170528567422453,0.640910749808911,0.47,0.0168066295519914,0.649925524010571,0.4595,0.0272296040743146,0.624307919390431,0.4435,0.029220410773055,0.625485443683575,0.4975,0.0244487920346958,0.620615801007845,0.419,0.0244561334208472,0.626300612112274,0.4475
additive,500,1.97,0.29,high,none,linear,0.910077977741227,0.88450810192133,0.837658426678513,0.837148679961101,0.846951424489453,1,0.489,0.78435528847638,0.084150236856169,2.89861685923494,2.01295738018616,-1.02037431303213,0.0694874617988743,,0.554823738870655,41.4957951873811,-3.65908683830647,0.0339579994473427,13.6155609791411,0.304,0.216,0.784,168,224,6.20071014818787,7.8258429578153,500,52,7.53846153846154,0.00894126147958629,0.796463346710187,0.0836576277491128,0.50514152316382,0.16,0.0665582885513208,0.52075435748744,0.2115,0.0678215739437669,0.571622792854518,0.209,0.0929804313245134,0.53866663228093,0.135,0.0893183000348824,0.539521052403044,0.085,0.0848265143929521,0.550238172164553,0.156
additive,500,1.21,0.25,moderate,none,mixed,0.864581114314832,0.887736416106349,0.898304194807572,0.920596892223959,0.901702606015328,4,0.4945,0.792971022925637,-0.0491354999762196,2.85518042834883,1.91392157794075,-0.89044376532321,0.0915861747934365,,0.999948595852889,16.9379537957302,-2.57252480816757,0.112110269973895,9.15777853636283,0.24,0.112,0.888,224,220,3.04890625847072,4.994462731911,500,52,8.53846153846154,0.0107397819306485,0.805516900848016,0.10631614687489,0.595911064979672,0.08,0.102850510432515,0.599783526406223,0.075,0.0993780713637218,0.585646776720849,0.16,0.0784695977499382,0.609244600446882,0.2425,0.0861296772638872,0.610541215710968,0.1955,0.0913998230939339,0.617817750061114,0.1455
bump,500,1.98,0.45,high,none,quadratic,0.992865786578658,,0.98977297729773,0.997053205320532,0.995558055805581,4,0.495,0.589180538469076,0.0490384298732872,2.78252772559618,0.172321065259726,-0.983729590638918,0.0578859699737624,,0.00309322147213303,15.9221310350994,-8.70042232246136,0.999333304845184,8.70686608806266,0.144,0.274,0.726,165,198,4.87158815210407,6.11366817011934,500,52,6.98076923076923,0.0167854174628163,0.646880799448914,0.153626403760691,0.594788377629731,0.022,0.152934057694291,0.59913706063306,0.0415,,,,0.148685980145144,0.599955747308524,0.0375,0.149162294117296,0.591622898112389,0.049,0.149180301974637,0.596725507238329,0.0485
bump,500,0.21,0.19,low,none,mixed,0.998513377598083,0.998804390945628,,0.998548439447185,0.998324043612933,2,0.479,0.588740173151557,0.131225452391821,2.78233823415518,0.138284298645369,-1.04003061907558,0.045518625402196,,7.96213162953274e-08,0.810555152228216,-2.1330625732831,0.311979742416678,2.12204490432926,0.032,0.028,0.972,228,258,0.976614492740564,1.40410062557193,500,52,9.34615384615385,0.0136609282606955,0.628132639593422,0.0303702541253003,0.679674507110934,0.144,0.0321031016614645,0.664890788496738,0.15,0.032219491948483,0.661639799226757,0.336,,,,0.0327273635055176,0.662549779160531,0.132,0.0320595301976477,0.665716664586002,0.173
