"family","n_train","b0","censoring","corr","overlap","prognostic_form","auc_K1","auc_K2","auc_K3","auc_K4","auc_K5","optimal_K","oracle_rate","best_auc","k4_auc","auc_loss"
"additive",500,1.97,0.13,"high","complete","linear",0.685832622853049,0.865220388982953,0.83483484835749,0.879063747093035,0.917192021806741,5,0.487,0.917192021806741,0.879063747093035,0.0381282747137064
"additive",300,1.59,0.41,"high","none","quadratic",0.811756747026988,0.865219960879844,0.878784015136061,0.868834475337901,0.839062356249425,3,0.499,0.878784015136061,0.868834475337901,0.00994953979815916
"additive",1000,0.36,0.62,"moderate","partial","mixed",0.941323955846777,0.93750550713725,0.923019232925872,0.920729765776446,0.912578701997789,1,0.482,0.941323955846777,0.920729765776446,0.0205941900703311
"additive",300,1.44,0.19,"moderate","none","linear",0.826173720196634,0.82808071528078,0.880597388352468,0.899902523578486,0.915155982290115,5,0.486,0.915155982290115,0.899902523578486,0.0152534587116299
"additive",500,0.36,0.24,"high","complete","mixed",0.880024502450245,0.833930893089309,0.877044204420442,0.872213221322132,0.89986798679868,5,0.505,0.89986798679868,0.872213221322132,0.0276547654765477
"additive",500,0.77,0.18,"high","none","quadratic",0.846589982175009,0.849284248052612,0.85396268261608,0.87252629461377,0.858188736727588,4,0.4855,0.87252629461377,0.87252629461377,0
"additive",500,1.97,0.29,"high","none","linear",0.910077977741227,0.88450810192133,0.837658426678512,0.837148679961101,0.846951424489453,1,0.489,0.910077977741227,0.837148679961101,0.0729292977801256
"additive",500,1.21,0.25,"moderate","none","mixed",0.864581114314832,0.887736416106349,0.898304194807572,0.920596892223959,0.901702606015328,4,0.4945,0.920596892223959,0.920596892223959,0
"bump",500,1.98,0.45,"high","none","quadratic",0.992865786578658,NA,0.98977297729773,0.997053205320532,0.995558055805581,4,0.495,0.997053205320532,0.997053205320532,0
"bump",500,0.21,0.19,"low","none","mixed",0.998513377598083,0.998804390945628,NA,0.998548439447185,0.998324043612933,2,0.479,0.998804390945628,0.998548439447185,0.000255951498443263
"bump",500,0.97,0.55,"low","none","quadratic",0.975919475919476,0.974344974344974,0.972688972688973,0.971063971063971,0.975184475184475,1,0.4995,0.975919475919476,0.971063971063971,0.0048555048555049
"bump",500,0.65,0.56,"moderate","complete","linear",0.961713788568863,0.954764778048624,0.982343820161652,0.958448765956764,0.967115233497979,3,0.476,0.982343820161652,0.958448765956764,0.023895054204888
"cross",500,1.21,0.68,"moderate","none","mixed",0.966394045325523,0.966344751662634,0.968205073961033,0.949332789733773,0.968235369024684,5,0.581,0.968235369024684,0.949332789733773,0.0189025792909107
"cross",500,1.98,0.15,"moderate","none","mixed",0.79641497014192,0.95174394468658,0.958834272976094,0.988270003162474,0.976318530139818,4,0.5855,0.988270003162474,0.988270003162474,0
"cross",1000,0.06,0.23,"moderate","none","linear",0.982348373068261,0.967692785586705,0.983775206440423,0.984478268747897,0.988935828738578,5,0.5925,0.988935828738578,0.984478268747897,0.00445755999068098
"cross",300,1.07,0.15,"high","none","mixed",0.881198495216091,0.895630202316419,0.863071181018395,0.902127432684617,0.896187683284458,4,0.6975,0.902127432684617,0.902127432684617,0
"cross",200,1.5,0.22,"high","complete","linear",0.54165544703108,0.904869146992963,0.840482426845062,0.891636971059751,0.90420412859276,2,0.6885,0.904869146992963,0.891636971059751,0.0132321759332115
"cross",300,1.18,0.06,"moderate","none","quadratic",0.98819550633848,0.987739234449761,0.989869017083477,0.986051850573012,0.990424456173235,5,0.582,0.990424456173235,0.986051850573012,0.00437260560022368
"cross",200,0.68,0.51,"low","complete","quadratic",0.929878601286576,0.903578884133063,0.947810067332482,0.874528797777277,0.931593201672048,3,0.5175,0.947810067332482,0.874528797777277,0.0732812695552051
"cross",500,0.07,0.54,"low","complete","linear",0.633408699817898,0.709784914876963,0.946491800387055,0.936082806920487,0.950989235220602,5,0.5235,0.950989235220602,0.936082806920487,0.0149064283001149
"cross",500,0.76,0.06,"moderate","none","quadratic",0.981155016143947,0.955987894374683,0.981025802293468,0.993113783952366,0.981693147722048,4,0.5955,0.993113783952366,0.993113783952366,0
"cross",200,1.05,0.1,"high","none","quadratic",0.926144777125275,0.907694497142541,0.939718735261358,0.769089812062839,0.87663999548358,3,0.6935,0.939718735261358,0.769089812062839,0.170628923198519
"cross",300,1.67,0.63,"low","none","quadratic",0.912478304091457,0.898665576359577,0.902524742354823,0.894571914170385,0.876582849309138,1,0.523,0.912478304091457,0.894571914170385,0.017906389921073
"cross",200,1.26,0.13,"low","none","linear",0.723035944057626,0.834247267217432,0.896870778567449,0.90237292110105,0.946451691779806,5,0.523,0.946451691779806,0.90237292110105,0.0440787706787562
"enclave",1000,1.9,0.67,"low","partial","mixed",0.881567915666235,0.887642627256418,0.894243222857624,0.889513772651828,0.886472660542372,3,0.5205,0.894243222857624,0.889513772651828,0.00472945020579596
