family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,oracle_K,gate_K,cv_K
additive,500,0.85135912447448,0.81820467878525,0.816596998863632,0.85135912447448,4,1,5.0
additive,500,0.780330264547724,0.779918659176749,0.780330264547724,0.775248963734716,2,1,2.0
additive,300,0.542436042436042,0.494801494801495,0.494801494801495,0.542436042436042,4,1,1.0
additive,300,0.694640464046405,0.693513851385139,0.694640464046405,0.694507450745074,2,1,2.0
additive,200,0.580046820187281,0.532859631438526,0.549434197736791,0.529910619642479,5,1,2.0
additive,200,0.619340409446551,0.55640690251044,0.55640690251044,0.619340409446551,4,2,2.0
additive,200,0.832728912963467,0.822818485861964,0.782573690611448,0.832728912963467,4,5,3.0
additive,200,0.647822540286258,0.647822540286258,0.647822540286258,0.63397858072265,5,5,5.0
additive,1000,0.808432343234323,0.803219321932193,0.803219321932193,0.785689068906891,2,1,1.0
additive,300,0.597875264016897,0.597875264016897,0.514566932283666,0.594213529665899,5,5,1.0
additive,1000,0.908246632986532,0.899022096088384,0.896291585166341,0.898829595318381,1,2,3.0
additive,1000,0.873259487968091,0.843308865047996,0.83427592296695,0.836312276992203,5,1,3.0
additive,200,0.548635954381753,0.509315226090436,0.505046018407363,0.505046018407363,1,5,4.0
additive,200,0.655196525945866,0.606086797333838,0.628619931795378,0.655196525945866,4,5,1.0
additive,1000,0.870521552155216,0.85019301930193,0.847493749374937,0.862573257325733,2,1,5.0
additive,300,0.714545960061167,0.714545960061167,0.714545960061167,0.683593714839496,5,5,5.0
additive,300,0.649420072115385,0.649420072115385,0.649420072115385,0.62904046474359,1,1,1.0
additive,300,0.925848646216155,0.762833070826771,0.762833070826771,0.786430160754019,2,5,5.0
additive,300,0.739546560604131,0.739546560604131,0.637102102568781,0.661346161365712,5,5,2.0
additive,500,0.838811101743985,0.838811101743985,0.78802161305904,0.78802161305904,1,1,4.0
additive,500,0.757165257165257,0.688815688815689,0.601755601755602,0.657833657833658,3,5,1.0
additive,500,0.719488987224681,0.719488987224681,0.719488987224681,0.600690517262932,5,5,5.0
additive,500,0.733683762609196,0.650034292007709,0.713688268128457,0.696663913293785,2,1,3.0
