family,n_train,oracle_auc,gate_auc,cv_auc,k4_auc,vt_auc,oracle_method,gate_method,cv_method
s_shaped,200,0.758051610722212,0.726310746516161,0.726310746516161,0.721364410585389,0.726310746516161,1,6,6.0
cross,300,0.766145914638296,0.633913525543267,0.633913525543267,0.732483658953453,0.633913525543267,5,6,6.0
additive,500,0.673578011757691,0.60818536171507,0.60818536171507,0.561519275329259,0.60818536171507,2,6,6.0
enclave,500,0.72040953868381,0.72040953868381,0.72040953868381,0.606179199405951,0.72040953868381,6,6,6.0
random,500,0.428386092371562,0.138656866020715,0.428386092371562,0.380362690248879,0.138656866020715,5,6,5.0
enclave,300,0.898720507936508,0.898720507936508,0.898720507936508,0.702651428571429,0.898720507936508,6,6,6.0
additive,1000,0.669456695468256,0.669456695468256,0.555634335981157,0.617035999983977,0.669456695468256,6,6,5.0
cross,500,0.932437310932773,0.893949348733718,0.809899247481187,0.908685217130428,0.809899247481187,3,5,6.0
radial,200,0.609182022323493,0.609182022323493,0.609182022323493,0.547475604319398,0.609182022323493,6,6,6.0
s_shaped,300,0.715259417505664,0.705885709537687,0.714391472313349,0.710871639215105,0.705885709537687,1,6,5.0
radial,500,0.65752880613768,0.652547578298675,0.65752880613768,0.65752880613768,0.652547578298675,4,6,4.0
s_shaped,300,0.744548778044872,0.636925080128205,0.600685596955128,0.686218950320513,0.636925080128205,5,6,3.0
enclave,200,0.822423743123125,0.822423743123125,0.822423743123125,0.595254356332646,0.822423743123125,6,6,6.0
s_shaped,500,0.70438331753327,0.658701634806539,0.658701634806539,0.67751121004484,0.658701634806539,1,6,6.0
bump,1000,0.957511023331342,0.956060255875358,0.957511023331342,0.957511023331342,0.952060640078602,2,1,2.0
cross,1000,0.852687768776878,0.852687768776878,0.721924192419242,0.800863586358636,0.63947794779478,5,5,2.0
s_shaped,1000,0.907958746059433,0.907958746059433,0.907958746059433,0.902182414267655,0.7645350930534,1,1,1.0
additive,1000,0.745392391053078,0.701623983884252,0.745392391053078,0.702305480695427,0.745392391053078,6,5,6.0
bump,200,0.903590510065461,0.903590510065461,0.590186713330817,0.608087206968389,0.590186713330817,5,5,6.0
cross,500,0.653445421198511,0.58018276786286,0.596747947647608,0.596747947647608,0.58018276786286,1,6,4.0
enclave,1000,0.756607459613475,0.756607459613475,0.756607459613475,0.663221272801844,0.756607459613475,6,6,6.0
random,1000,0.858057783965193,0.858057783965193,0.811354761959701,0.828662005594312,0.811354761959701,5,5,6.0
additive,500,0.836660235888543,0.827534631690435,0.808085778379184,0.802619116913146,0.711067039111733,2,5,3.0
linear,1000,0.775379151660664,0.7653131252501,0.75578231292517,0.75578231292517,0.775379151660664,6,5,4.0
s_shaped,300,0.670518906400283,0.670518906400283,0.65522954804991,0.65522954804991,0.670518906400283,6,6,2.0
random,1000,0.953239466745643,0.921988824035112,0.933860458802769,0.953239466745643,0.792668780927231,4,5,3.0
enclave,300,0.589002301020709,0.589002301020709,0.589002301020709,0.555214996934972,0.589002301020709,6,6,6.0
random,200,0.809069031339809,0.809069031339809,0.642469129058592,0.718491003499061,0.809069031339809,6,6,5.0
s_shaped,300,0.564607644364346,0.564607644364346,0.552195439413281,0.54548221571425,0.564607644364346,6,6,5.0
radial,1000,0.933431242381264,0.933431242381264,0.933431242381264,0.728294339159224,0.933431242381264,6,6,6.0
cross,1000,0.869451916177959,0.869451916177959,0.869451916177959,0.812093708405777,0.507022056969094,5,5,5.0
cross,200,0.573856884785227,0.573856884785227,0.573856884785227,0.525813428342031,0.468764552388599,5,5,5.0
bump,500,0.880637272567109,0.70321008712922,0.70321008712922,0.880637272567109,0.699376161189058,4,5,5.0
additive,500,0.790109341599722,0.715725844769138,0.790109341599722,0.790109341599722,0.608433837379003,4,5,4.0
s_shaped,200,0.733170317031703,0.733170317031703,0.733170317031703,0.715620062006201,0.733170317031703,6,6,6.0
linear,500,0.796880547324333,0.796880547324333,0.716430030832497,0.716430030832497,0.796880547324333,6,6,2.0
enclave,200,0.70984350063267,0.667635457961771,0.488263799765767,0.558534730717096,0.667635457961771,5,6,2.0
s_shaped,500,0.950105962821501,0.933870498330298,0.933870498330298,0.909616063543689,0.789831569619924,3,5,5.0
additive,500,0.745385341956967,0.570309498271004,0.606290223168545,0.606290223168545,0.745385341956967,6,1,2.0
random,300,0.966879586569731,0.966879586569731,0.966879586569731,0.904579150423172,0.966879586569731,6,6,6.0
additive,500,0.86044045424032,0.82811369814088,0.858791727151674,0.831166044225503,0.825996264352579,2,5,1.0
bump,300,0.850408260206505,0.696993424835621,0.696993424835621,0.820779019475487,0.696993424835621,1,6,6.0
radial,300,0.644212743549236,0.644212743549236,0.570412999322952,0.588261992527395,0.644212743549236,6,6,1.0
enclave,1000,0.918419189732882,0.918419189732882,0.918419189732882,0.766241246721499,0.918419189732882,6,6,6.0
additive,500,0.858350450861682,0.855373902876546,0.819394059516945,0.858350450861682,0.819394059516945,4,3,6.0
s_shaped,500,0.972226139362863,0.948474265386112,0.953764405493065,0.972226139362863,0.740005540670421,4,5,2.0
radial,200,0.662419079964176,0.662419079964176,0.662419079964176,0.617980382374346,0.662419079964176,6,6,6.0
additive,300,0.773763586806921,0.773763586806921,0.773763586806921,0.687779456057271,0.773763586806921,6,6,6.0
bump,1000,0.943669435018128,0.940665244963578,0.943669435018128,0.936325581348803,0.815404429829346,3,5,3.0
linear,300,0.873457863904014,0.766286110172559,0.804556651851466,0.804556651851466,0.766286110172559,2,6,4.0
radial,500,0.722503360435287,0.603518654584048,0.603518654584048,0.722503360435287,0.624786846641117,4,5,5.0
bump,1000,0.957541065705128,0.948871193910256,0.957541065705128,0.948871193910256,0.934132612179487,1,4,1.0
enclave,300,0.860550082101806,0.860550082101806,0.860550082101806,0.730244252873563,0.860550082101806,6,6,6.0
enclave,500,0.81589374114072,0.81589374114072,0.81589374114072,,0.81589374114072,6,6,6.0
cross,200,0.63033438477977,0.63033438477977,0.473622858466212,0.473622858466212,0.63033438477977,6,6,5.0
additive,200,0.65624915580342,0.65624915580342,0.6452228228733,0.624859550702322,0.65624915580342,6,6,1.0
s_shaped,500,0.891885602063583,0.730083610349546,0.797758646058863,0.723506289544252,0.730083610349546,3,6,2.0
additive,1000,0.662579070747854,0.662579070747854,0.65152143284156,0.631337801450185,0.572823194953892,5,5,3.0
linear,300,0.957846620619586,0.957846620619586,0.905709651386862,0.934786913082218,0.957846620619586,6,6,1.0
cross,300,0.76141233332865,0.612150440944366,0.612150440944366,,0.612150440944366,1,6,6.0
cross,500,0.883796810376736,0.844037158628237,0.883796810376736,0.846383712322374,0.638507016527463,3,5,3.0
linear,1000,0.970675236077125,0.918818769368924,0.923728313554822,0.923728313554822,0.894948054532491,2,5,4.0
cross,500,0.599306851506265,0.599306851506265,0.522500666488936,0.546705174916319,0.599306851506265,6,6,2.0
s_shaped,200,0.480073282638175,0.400315411354809,0.478540727466189,0.478540727466189,0.400315411354809,1,6,2.0
cross,200,0.661420704552585,0.661420704552585,0.661420704552585,0.660077861731179,0.661420704552585,6,6,6.0
radial,500,0.83457556424843,0.721003985833632,0.721003985833632,0.699549279958537,0.721003985833632,5,6,6.0
linear,300,0.778486930892111,0.778486930892111,0.676848436792933,0.763553167461586,0.70020243401372,5,5,2.0
radial,300,0.642864612567468,0.642864612567468,0.402333537505416,0.402333537505416,0.642864612567468,6,6,4.0
cross,500,0.765863608374384,0.681144293924466,0.681144293924466,0.75963105500821,0.681144293924466,3,6,6.0
s_shaped,300,0.755913406121926,0.755913406121926,0.755913406121926,0.58086407770876,0.755913406121926,6,6,6.0
s_shaped,1000,0.945089737588567,0.939835207700709,0.934414645270473,0.939613164180179,0.900236446343483,5,3,1.0
additive,500,0.729756195143907,0.650806431447076,0.650806431447076,0.708376384686555,0.650806431447076,1,6,6.0
s_shaped,300,0.804257925792579,0.64984398439844,0.671616661666167,0.615316531653165,0.64984398439844,3,6,5.0
additive,1000,0.673772802387974,0.64722069950664,0.64722069950664,0.619406687766836,0.64722069950664,3,6,6.0
s_shaped,200,0.656201124804499,0.620196480785923,0.615082460329841,0.615082460329841,0.620196480785923,1,6,4.0
linear,500,0.959234970157379,0.691528666060423,0.691528666060423,0.878444835015876,0.691528666060423,1,6,6.0
enclave,1000,0.84470125790885,0.73763486710729,0.658364688465615,0.84470125790885,0.731566034959596,4,5,2.0
linear,200,0.775209167770358,0.775209167770358,0.553881957754312,0.775209167770358,0.515266946490663,4,4,1.0
s_shaped,300,0.672644,0.672644,0.672644,0.575601,0.672644,6,6,6.0
random,300,0.477313454232672,0.477313454232672,0.157479750555516,0.0504623324492868,0.477313454232672,6,6,3.0
additive,1000,0.790450126222799,0.785165391420855,0.73226797485758,0.790450126222799,0.654786402585139,4,5,2.0
random,500,0.670066615272095,0.599642526823493,0.628196164966172,0.628196164966172,0.599642526823493,3,6,4.0
enclave,500,0.866364026330326,0.866364026330326,0.866364026330326,0.862181890751159,0.866364026330326,6,6,6.0
