"family","n_train","oracle_auc","gate_auc","cv_auc","k4_auc","vt_auc","oracle_method","gate_method","cv_K"
"s_shaped",300,0.686147699319454,0.627152402017128,0.518666238512103,0.518666238512103,0.627152402017128,1,6,4
"bump",200,0.92131567783043,0.92131567783043,0.838880194992316,0.838880194992316,0.92131567783043,6,6,3
"additive",300,0.633861604284068,0.619972103931865,0.521877601498463,0.597713783139088,0.619972103931865,2,6,3
"cross",500,0.935469493819103,0.840339229499386,0.933694525491401,0.933694525491401,0.840339229499386,5,6,3
"linear",1000,0.852932780003185,0.852932780003185,0.740770735606555,0.740770735606555,0.852932780003185,6,6,4
"cross",500,0.875275733929181,0.7240387438299,0.836015563331129,0.836015563331129,0.7240387438299,1,6,4
"cross",200,0.605168584696144,0.605168584696144,0.588180323613394,0.588180323613394,0.605168584696144,6,6,5
"cross",200,0.591040057992558,0.591040057992558,0.446554168444524,0.566761982758225,0.591040057992558,6,6,1
"s_shaped",500,0.62738153810461,0.62738153810461,0.62738153810461,0.574268188291013,0.59601553624858,5,5,5
"bump",500,0.700644700644701,0.700644700644701,0.561089061089061,0.638774138774139,0.700644700644701,6,6,2
"random",300,0.623355188390594,0.623355188390594,0.422182008916863,0.422182008916863,0.623355188390594,6,6,2
"cross",200,0.462021660649819,0.406698952188078,0.462021660649819,0.462021660649819,0.406698952188078,2,6,4
"additive",500,0.675044384986622,0.675044384986622,0.549780200545123,0.6003535795554,0.659736440699157,1,1,5
"linear",200,0.729172919693131,0.645596468690846,0.729172919693131,0.717141596532722,0.645596468690846,2,6,2
"cross",500,0.593870514314548,0.593870514314548,0.472451153533485,0.472451153533485,0.593870514314548,6,6,4
"s_shaped",500,0.548576748762955,0.501628558628111,0.519339196211064,0.507634274833894,0.548576748762955,6,5,1
"enclave",500,0.874084885738443,0.874084885738443,0.752990274844826,0.731692705933266,0.760165932705292,5,5,3
"cross",300,0.505099770716786,0.44436759229914,0.470207634996815,0.488689658305039,0.44436759229914,1,6,3
"cross",1000,0.970751855752938,0.969091253502304,0.963695727292786,0.969091253502304,0.776974508636589,5,4,2
"enclave",1000,0.964160474391375,0.964160474391375,0.913506421159063,0.911754082922584,0.964160474391375,6,6,1
"bump",300,0.942924554744058,0.882606789352297,0.90073084838875,0.887864673425588,0.882606789352297,5,6,1
"radial",200,0.821256376757497,0.821256376757497,0.545273311825663,0.545273311825663,0.821256376757497,6,6,4
"bump",500,0.905384448373189,0.744906055303255,NA,NA,0.744906055303255,1,6,3
"cross",300,0.880519582916492,0.596498431789767,0.880519582916492,0.864288632600546,0.596498431789767,5,6,5
"bump",1000,0.967406806580148,0.921750232033413,0.967406806580148,0.93928625722104,0.883298194940071,2,5,2
"s_shaped",500,0.65339845437527,0.65339845437527,0.562250496007936,0.562250496007936,0.65339845437527,6,6,4
"additive",500,0.522113353813661,0.522113353813661,NA,NA,0.522113353813661,6,6,5
"bump",200,0.735914745510181,0.735914745510181,0.486217137410083,0.609940983514635,0.735914745510181,6,6,3
"enclave",500,0.868276031748572,0.868276031748572,0.612090641052311,0.677002988430334,0.868276031748572,6,6,2
